Player,Country,Date of Birth,Runs Scored,Matches Played,Wickets Taken,Highest Score,Average,Strike Rate
Sachin Tendulkar,India,"Apr 24, 1973",18426,463,0,200,44.83,84.24
Virat Kohli,India,"Nov 5, 1987",12344,262,2,183,58.07,93.99
Sourav Ganguly,India,"Jul 8, 1972",11365,311,22,183,41.13,87.58
Rahul Dravid,India,"Jan 7, 1977",10870,344,3,161,44.83,73.12
Rohit Sharma,India,"Apr 30, 1987",9905,230,9,264,49.53,90.92
MS Dhoni,India,"Jul 7, 1981",10869,350,195,183,50.57,89.05
Yuvraj Singh,India,"Dec 12, 1981",8707,304,98,150,36.04,86.52
Mohammad Shami,India,"Sep 3, 1988",159,89,176,31,18.18,85.9
Anil Kumble,India,"Feb 17, 1970",984,270,337,57,30.8,66.85
Javagal Srinath,India,"Aug 21, 1969",820,196,315,54,25.13,84.41
Harbhajan Singh,India,"Jul 3, 1980",2546,236,269,132,10.79,70.78
Bhuvneshwar Kumar,India,"Feb 5, 1988",3552,140,151,146,25.37,80.85
Ajinkya Rahane,India,"Jun 6, 1988",5057,96,3,111,47.64,85.05
Shikhar Dhawan,India,"Dec 5, 1987",6799,169,2,146,44.12,90.49
Suresh Raina,India,"Dec 27, 1986",5616,266,100,116,33.36,93.45
VVS Laxman,India,"Nov 1, 1974",7604,209,36,131,42.65,78.19
Mohammad Kaif,India,"Dec 1, 1980",3229,127,16,127,26.01,73.69
Hemang Badani,India,"Dec 23, 1975",2657,144,34,109,20.17,67.06
Ajay Jadeja,India,"Feb 9, 1971",2278,196,185,139,24.43,83
Sachin Tendulkar (IND),India,"Apr 24, 1973",18426,463,0,200,44.83,84.24
Virat Kohli (IND),India,"Nov 5, 1987",12344,262,2,183,58.07,93.99
Rohit Sharma (IND),India,"Apr 30, 1987",9905,230,9,264,49.53,90.92
MS Dhoni (IND),India,"Jul 7, 1981",10869,350,195,183,50.57,89.05
Sourav Ganguly (IND),India,"Jul 8, 1972",11365,311,22,183,41.13,87.58
Ricky Ponting (AUS),Australia,"Dec 5, 1974",13704,375,13,169,42.03,96.86
Chris Gayle (WI),West Indies,"Sep 21, 1979",13223,333,166,175,48.49,86.24
Jacques Kallis (SA),South Africa,"Jun 16, 1975",11579,271,273,132,44.36,80.03
Muttiah Muralitharan (SL),Sri Lanka,"Apr 19, 1972",3807,355,534,133,23.08,85.7
Glenn McGrath (AUS),Australia,"Feb 19, 1970",708,259,169,57,21.64,81.53
Wasim Akram (PAK),Pakistan,"Jun 3, 1966",3717,194,419,146,25.78,82.01